src,dst,proto,size
52.104.148.53,10.208.99.65,TCP,1316
52.104.148.53,10.208.99.65,TCP,1316
10.208.99.65,52.104.148.53,TCP,54
52.104.148.53,10.208.99.65,TCP,1316
52.104.148.53,10.208.99.65,TCP,1316
52.104.148.53,10.208.99.65,TCP,1316
10.208.99.65,52.104.148.53,TCP,54
52.104.148.53,10.208.99.65,TCP,1316
10.208.99.65,52.104.148.53,TCP,54
52.104.148.53,10.208.99.65,TCP,1316
52.104.148.53,10.208.99.65,TCP,1316
52.104.148.53,10.208.99.65,TCP,1316
10.208.99.65,52.104.148.53,TCP,54
52.104.148.53,10.208.99.65,TCP,1316
52.104.148.53,10.208.99.65,TCP,1316
10.208.99.65,52.104.148.53,TCP,54
52.104.148.53,10.208.99.65,TCP,1316
52.104.148.53,10.208.99.65,TCP,528
10.208.99.65,52.104.148.53,TCP,54
10.208.99.65,13.107.139.11,TCP,1336
10.208.99.65,13.107.139.11,TCP,1336
10.208.99.65,13.107.139.11,TCP,90
10.208.99.65,13.107.139.11,TCP,1336
10.208.99.65,13.107.139.11,TCP,85
13.107.139.11,10.208.99.65,TCP,66
13.107.139.11,10.208.99.65,TCP,54
13.107.139.11,10.208.99.65,TCP,66
13.107.139.11,10.208.99.65,TCP,54
10.208.99.169,224.0.0.251,UDP,488
10.208.99.65,13.107.137.11,TCP,1336
10.208.99.65,13.107.137.11,TCP,1336
10.208.99.65,13.107.137.11,TCP,90
10.208.99.65,13.107.137.11,TCP,1336
10.208.99.65,13.107.137.11,TCP,768
13.107.137.11,10.208.99.65,TCP,66
13.107.139.11,10.208.99.65,TCP,1316
13.107.139.11,10.208.99.65,TCP,1316
10.208.99.65,13.107.139.11,TCP,54
13.107.139.11,10.208.99.65,TCP,464
10.208.99.65,13.107.139.11,TCP,54
10.208.99.65,13.107.137.11,TCP,1336
10.208.99.65,13.107.137.11,TCP,1336
10.208.99.65,13.107.139.11,TCP,1336
10.208.99.65,13.107.139.11,TCP,1336
10.208.99.65,13.107.139.11,TCP,90
10.208.99.65,13.107.139.11,TCP,1336
10.208.99.65,13.107.139.11,TCP,1336
10.208.99.65,13.107.139.11,TCP,1255
13.107.137.11,10.208.99.65,TCP,66
13.107.139.11,10.208.99.65,TCP,66
13.107.137.11,10.208.99.65,TCP,1316
13.107.137.11,10.208.99.65,TCP,1316
10.208.99.65,13.107.137.11,TCP,54
13.107.137.11,10.208.99.65,TCP,467
10.208.99.65,13.107.137.11,TCP,54
10.208.99.65,13.107.139.11,TCP,1336
13.107.139.11,10.208.99.65,TCP,66
10.208.99.65,13.107.139.11,TCP,1336
10.208.99.65,13.107.139.11,TCP,1336
